질문번호,기준지점,기준일시,에이전트,표시라벨,질문,가용여부,테이블/컬럼,가정/갭,일반화 쿼리,예시 쿼리,예상 답변,의도ID,동의어
005-001-,POC_010,2026-03-05 09:00 (KST),매출 관리,오늘 매출 어때?,오늘 시간대 매출 지금 확인할 것만 말해줘,✅,"core_channel_sales, core_hourly_item_sales, core_daily_item_sales",-,"SELECT
    item_cd,
    item_nm,
    -- 점주 실 주문 수량 합계
    SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0)) AS total_ord_qty,

    -- 확정 수량(실 출하) 합계
    SUM(COALESCE(NULLIF(confrm_qty, '')::numeric, 0)) AS total_confirm_qty,

    -- 자동 주문 비중
    AVG(CASE WHEN auto_ord_yn = 'Y' THEN 1 ELSE 0 END) AS auto_ord_ratio
FROM
    raw_order_extract
WHERE
    masked_stor_cd = :store_id
    AND dlv_dt = :reference_dt -- 단일 일자 정확히 매칭
GROUP BY
    item_cd,
    item_nm
ORDER BY
    -- 주문 수량과 확정 수량 차이의 절댓값이 가장 큰 순으로 내림차순 정렬
    ABS(
        SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0))
        - SUM(COALESCE(NULLIF(confrm_qty, '')::numeric, 0))
    ) DESC
LIMIT 12;","     SELECT
         sale_dt,
         tmzon_div AS sale_hr,
         -- 시간대 정보가 있는 core_hourly_item_sales 사용
         SUM(sale_amt) AS total_sale_amt,
         SUM(sale_qty) AS total_ord_cnt, --상품별 수량 기준
         SUM(sale_amt) / NULLIF(SUM(sale_qty),
      0) AS avg_ticket
     FROM core_hourly_item_sales
     WHERE masked_stor_cd = 'POC_010'
      AND sale_dt = '20260305'
      AND tmzon_div < '09'
   GROUP BY sale_dt, tmzon_div
   ORDER BY tmzon_div;",매출·주문·객단가 변화를 함께 보고 실행 가능한 매출 개선 포인트를 제공합니다.,sales_get_today_hourly_sales_report,오늘 장사 어때|오늘 시간대 매출|지금 매출 어때|오늘 판매 어때|오늘 매출 상황|오늘 얼마 벌었어
006-001-,POC_010,2026-03-05 09:00 (KST),매출 관리,객단가 변화 어디부터?,지난달 대비 객단가 변화 뭐부터 보면 돼?,✅,"core_channel_sales, core_hourly_item_sales, core_daily_item_sales",-,"SELECT
    sale_dt,
    SUM(sale_amt) AS total_sale_amt,
    SUM(ord_cnt) AS total_ord_cnt,
    SUM(sale_amt) / NULLIF(SUM(ord_cnt), 0) AS avg_ticket
FROM core_channel_sales
WHERE masked_stor_cd = :store_id
  AND sale_dt BETWEEN :date_from AND :date_to
GROUP BY sale_dt
ORDER BY sale_dt;","SELECT
    sale_dt,
    SUM(sale_amt) AS total_sale_amt,
    SUM(ord_cnt) AS total_ord_cnt,
    SUM(sale_amt) / NULLIF(SUM(ord_cnt), 0) AS avg_ticket
FROM core_channel_sales
WHERE masked_stor_cd = 'POC_010'
  AND sale_dt BETWEEN '20260201' AND '20260305'
GROUP BY sale_dt
ORDER BY sale_dt;",매출·주문·객단가 변화를 함께 보고 실행 가능한 매출 개선 포인트를 제공합니다.,sales_analyze_atv_change_previous_month,전월 대비 객단가 변동 추이 알려줘 | [상품명]의 지난달 대비 객단가 변화 확인해줘 | 지난달이랑 비교해서 객단가 어떻게 변했어? | 객단가 변화 분석할 때 뭐부터 확인해야 해? | 전월이랑 이번 달 객단가 차이 좀 보여줘 | [날짜] 기준 객단가 변화 원인이 뭐야?
015-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,품절 자주 나는 품목은?,지난주 대비 품절 자주 나는 품목 바로 볼 포인트 뭐야?,✅,"core_stock_rate, core_stockout_time, core_hourly_item_sales, production_registrations",-,"SELECT
    csr.item_cd,
    chis.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
FROM core_stock_rate csr
LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
WHERE csr.masked_stor_cd = :store_id
  AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
      BETWEEN TO_DATE(:date_from, 'YYYYMMDD')
          AND TO_DATE(:date_to, 'YYYYMMDD')
GROUP BY csr.item_cd, chis.item_nm
ORDER BY avg_stk_rt ASC, total_sale_qty DESC
LIMIT 12;","SELECT
    csr.item_cd,
    chis.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
FROM core_stock_rate csr
LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
WHERE csr.masked_stor_cd = 'POC_010'
  AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
      BETWEEN TO_DATE('20260201', 'YYYYMMDD')
          AND TO_DATE('20260305', 'YYYYMMDD')
GROUP BY csr.item_cd, chis.item_nm
ORDER BY avg_stk_rt ASC, total_sale_qty DESC
LIMIT 12;","기준일시(2026-03-05 09:00, KST) 기준으로 생산·재고·품절 위험을 묶어 즉시 실행 우선순위를 제공합니다.",production_compare_weekly_stockout_frequency_items,품절 잦은 품목|자주 떨어지는 품목|반복 품절 품목|품절 빈번한 메뉴|품절 자주 발생|품절 위험 품목
016-001-,POC_010,2026-03-05 09:00 (KST),주문 관리,수동 발주 늘어난 품목은?,지난주 대비 수동 발주 많은 품목 핵심만 짚어줘,✅,"raw_order_extract, ordering_selections",-,"WITH last_week_manual AS (
    -- 1. 지난주 수동 발주량 집계
    SELECT
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0)) AS lw_qty
    FROM raw_order_extract
    WHERE masked_stor_cd = :target_store_cd
      AND auto_ord_yn = 'N'
      AND dlv_dt BETWEEN :last_week_start AND :last_week_end
    GROUP BY item_cd
),
this_week_manual AS (
    -- 2. 이번 주 수동 발주량 집계
    SELECT
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0)) AS tw_qty
    FROM raw_order_extract
    WHERE masked_stor_cd = :target_store_cd
      AND auto_ord_yn = 'N'
      AND dlv_dt BETWEEN :this_week_start AND :this_week_end
    GROUP BY item_cd
)
-- 3. 수동 발주 증가량이 가장 큰 상위 5개 품목 추출
SELECT
    COALESCE(t.item_cd, l.item_cd) AS item_cd,
    COALESCE(t.item_nm, l.item_nm) AS item_nm,
    COALESCE(l.lw_qty, 0) AS ""지난주 수동 발주량"",
    COALESCE(t.tw_qty, 0) AS ""이번 주 수동 발주량"",
    COALESCE(t.tw_qty, 0) - COALESCE(l.lw_qty, 0) AS ""수동 발주 증가량""
FROM this_week_manual t
FULL OUTER JOIN last_week_manual l ON t.item_cd = l.item_cd
WHERE
    (COALESCE(t.tw_qty, 0) - COALESCE(l.lw_qty, 0)) > 0
ORDER BY
    ""수동 발주 증가량"" DESC
LIMIT 5;","WITH last_week_manual AS (
    SELECT
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0)) AS lw_qty
    FROM raw_order_extract
    WHERE masked_stor_cd = 'POC_010'
      AND auto_ord_yn = 'N'
      AND dlv_dt BETWEEN '20260223' AND '20260301'
    GROUP BY item_cd
),
this_week_manual AS (
    SELECT
        item_cd,
        MAX(item_nm) AS item_nm,
        SUM(COALESCE(NULLIF(ord_qty, '')::numeric, 0)) AS tw_qty
    FROM raw_order_extract
    WHERE masked_stor_cd = 'POC_010'
      AND auto_ord_yn = 'N'
      AND dlv_dt BETWEEN '20260302' AND '20260305'
    GROUP BY item_cd
)
SELECT
    COALESCE(t.item_cd, l.item_cd) AS item_cd,
    COALESCE(t.item_nm, l.item_nm) AS item_nm,
    COALESCE(l.lw_qty, 0) AS ""지난주 수동 발주량"",
    COALESCE(t.tw_qty, 0) AS ""이번 주 수동 발주량"",
    COALESCE(t.tw_qty, 0) - COALESCE(l.lw_qty, 0) AS ""수동 발주 증가량""
FROM this_week_manual t
FULL OUTER JOIN last_week_manual l ON t.item_cd = l.item_cd
WHERE
    (COALESCE(t.tw_qty, 0) - COALESCE(l.lw_qty, 0)) > 0
ORDER BY
    ""수동 발주 증가량"" DESC
LIMIT 5;","기준일시(2026-03-05 09:00, KST) 기준으로 발주-확정 괴리와 수동발주 비중을 함께 분석해 다음 발주 조정안을 제시합니다.",ordering_compare_manual_order_volume_by_item,수동 발주 증가 품목|수동 발주 많은 품목|수기 발주 늘어난 품목|자동 발주 안 한 품목|수동 처리 발주|수동 발주 비중 높은 품목
017-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,재고 부족 우선조치,지난달 대비 재고 부족 품목 바로 조치할 것부터 알려줘,✅,"core_stock_rate, core_stockout_time, core_hourly_item_sales, production_registrations",-,"SELECT
    csr.item_cd,
    chis.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
FROM core_stock_rate csr
LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
WHERE csr.masked_stor_cd = :store_id
  AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
      BETWEEN TO_DATE(:date_from, 'YYYYMMDD')
          AND TO_DATE(:date_to, 'YYYYMMDD')
GROUP BY csr.item_cd, chis.item_nm
ORDER BY avg_stk_rt ASC, total_sale_qty DESC
LIMIT 12;","  SELECT
    csr.item_cd,
    csr.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
  FROM core_stock_rate csr
  LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
  WHERE csr.masked_stor_cd = 'POC_010'
    AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
        BETWEEN TO_DATE('20260201','YYYYMMDD') AND
  TO_DATE('20260305','YYYYMMDD')
  GROUP BY csr.item_cd, csr.item_nm
  ORDER BY avg_stk_rt ASC, total_sale_qty DESC
  LIMIT 12;

","기준일시(2026-03-05 09:00, KST) 기준으로 생산·재고·품절 위험을 묶어 즉시 실행 우선순위를 제공합니다.",production_get_stock_shortage_priority_comparison,전월 대비 품절 위험 품목 우선순위대로 보여줘 | [상품명] 재고 부족한 거 지난달이랑 비교해서 급한 순으로 알려줘 | 지금 당장 발주 필요한 재고 부족 리스트 지난달 기준으로 뽑아줘 | 지난달보다 재고 상황 안 좋은 품목들 조치 필요한 순서로 나열해줘 | [날짜] 대비 재고 부족한 [상품명] 중 조치 시급한 것 확인해줘 | 재고 부족 품목 중 우선 조치 대상 알려줘
018-001-,POC_010,2026-03-05 09:00 (KST),매출 관리,이번 주 요일별 매출은?,이번 주 요일별 매출 바로 조치할 것부터 알려줘,✅,"core_channel_sales, core_hourly_item_sales, core_daily_item_sales",-,"SELECT sale_dt, SUM(sale_amt) AS total_sale_amt, SUM(ord_cnt) AS total_ord_cnt, SUM(sale_amt)/NULLIF(SUM(ord_cnt),0) AS avg_ticket FROM core_channel_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY sale_dt ORDER BY sale_dt ","SELECT sale_dt, SUM(sale_amt) AS total_sale_amt, SUM(ord_cnt) AS total_ord_cnt, SUM(sale_amt)/NULLIF(SUM(ord_cnt),0) AS avg_ticket FROM core_channel_sales WHERE masked_stor_cd = 'POC_010' AND to_date(sale_dt,'YYYYMMDD') BETWEEN '20260201' AND '20260305' GROUP BY sale_dt ORDER BY sale_dt ","기준일시(2026-03-05 09:00, KST) 기준으로 매출·주문·객단가 변화를 함께 보고 실행 가능한 매출 개선 포인트를 제공합니다.",sales_get_weekly_daily_sales_action_priority,이번 주 요일별 매출 바로 조치할 것부터 알려줘 | 금주 요일별 매출 현황 중 긴급한 것부터 보여줘 | 이번 주 일자별 판매 실적 보고 조치가 필요한 품목 알려줘 | 이번 주 요일별 매출 데이터에서 우선순위 높은 조치 사항 확인해줘 | 이번 주 일별 매출액 확인하고 문제 있는 부분부터 리스트업해줘 | 이번 주 요일별 실적 중 급한 것부터 정렬해줘
019-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,폐기 많은 품목은?,요즘 폐기 많은 품목 지금 확인할 것만 말해줘,✅,"core_stock_rate, core_stockout_time, core_hourly_item_sales, production_registrations",-,"SELECT
    csr.item_cd,
    chis.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
FROM core_stock_rate csr
LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
WHERE csr.masked_stor_cd = :store_id
  AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
      BETWEEN TO_DATE(:date_from, 'YYYYMMDD')
          AND TO_DATE(:date_to, 'YYYYMMDD')
GROUP BY csr.item_cd, chis.item_nm
ORDER BY avg_stk_rt ASC, total_sale_qty DESC
LIMIT 12;"," SELECT
    csr.item_cd,
    csr.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
  FROM core_stock_rate csr
  LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
  WHERE csr.masked_stor_cd = 'POC_010'
    AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
        BETWEEN TO_DATE('20260201', 'YYYYMMDD') AND TO_DATE('20260305',
  'YYYYMMDD')
  GROUP BY csr.item_cd, csr.item_nm
  ORDER BY avg_stk_rt ASC, total_sale_qty DESC
  LIMIT 12;
","기준일시(2026-03-05 09:00, KST) 기준으로 생산·재고·품절 위험을 묶어 즉시 실행 우선순위를 제공합니다.",production_check_high_disposal_items_recently,최근 폐기율 높은 품목 알려줘 | 요즘 폐기 많이 나오는 상품 뭐야? | 지금 바로 확인해야 할 폐기 품목 리스트 | 최근 {date} 동안 폐기량 많은 품목 확인해줘 | 폐기 수량 {quantity}개 이상인 품목 리스트 | 생산 등록 대비 폐기 많은 품목 조회
020-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,생산 늦는 품목은?,요즘 생산 늦는 품목 지금 확인할 것만 말해줘,✅,"core_stock_rate, core_stockout_time, core_hourly_item_sales, production_registrations",-,"SELECT
    csr.item_cd,
    chis.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
FROM core_stock_rate csr
LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
WHERE csr.masked_stor_cd = :store_id
  AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
      BETWEEN TO_DATE(:date_from, 'YYYYMMDD')
          AND TO_DATE(:date_to, 'YYYYMMDD')
GROUP BY csr.item_cd, chis.item_nm
ORDER BY avg_stk_rt ASC, total_sale_qty DESC
LIMIT 12;"," SELECT
    csr.item_cd,
    csr.item_nm,
    AVG(csr.stk_rt) AS avg_stk_rt,
    SUM(chis.sale_qty) AS total_sale_qty
  FROM core_stock_rate csr
  LEFT JOIN core_hourly_item_sales chis
    ON csr.masked_stor_cd = chis.masked_stor_cd
   AND csr.item_cd = chis.item_cd
  WHERE csr.masked_stor_cd = 'POC_010'
    AND TO_DATE(csr.prc_dt, 'YYYYMMDD')
        BETWEEN TO_DATE('20260201', 'YYYYMMDD') AND TO_DATE('20260305',
  'YYYYMMDD')
  GROUP BY csr.item_cd, csr.item_nm
  ORDER BY avg_stk_rt ASC, total_sale_qty DESC
  LIMIT 12;
","기준일시(2026-03-05 09:00, KST) 기준으로 생산·재고·품절 위험을 묶어 즉시 실행 우선순위를 제공합니다.",production_check_current_delayed_production_items,현재 생산 지연되고 있는 품목 리스트 보여줘 | 지금 바로 확인해야 할 생산 지연 품목 뭐야? | 최근 [상품명] 생산 늦어지는 거 있는지 확인해줘 | 생산 일정 늦어지는 품목들 지금 체크해줘 | 지연 중인 생산 품목 알려줘 | [날짜] 기준으로 생산 지연 발생한 품목 뭐야?
022-001-,POC_010,2026-03-05 09:00 (KST),매출 관리,오늘 마진 낮은 품목은?,오늘 저마진 상품 핵심만 짚어줘,✅,"core_channel_sales, core_hourly_item_sales, core_daily_item_sales",-,"SELECT sale_dt, SUM(sale_amt) AS total_sale_amt, SUM(ord_cnt) AS total_ord_cnt, SUM(sale_amt)/NULLIF(SUM(ord_cnt),0) AS avg_ticket FROM core_channel_sales WHERE masked_stor_cd = :store_id AND to_date(sale_dt,'YYYYMMDD') BETWEEN :date_from AND :date_to GROUP BY sale_dt ORDER BY sale_dt ","SELECT sale_dt, SUM(sale_amt) AS total_sale_amt, SUM(ord_cnt) AS total_ord_cnt, SUM(sale_amt)/NULLIF(SUM(ord_cnt),0) AS avg_ticket FROM core_channel_sales WHERE masked_stor_cd = 'POC_010' AND to_date(sale_dt,'YYYYMMDD') BETWEEN '20260201' AND '20260305' GROUP BY sale_dt ORDER BY sale_dt ","기준일시(2026-03-05 09:00, KST) 기준으로 매출·주문·객단가 변화를 함께 보고 실행 가능한 매출 개선 포인트를 제공합니다.",sales_summarize_daily_low_margin_product_performance,저마진 상품|마진 적은 품목|수익성 낮은 품목|이익 적은 메뉴|마진율 낮은 품목|남는 게 적은 품목
001-001-,POC_010,2026-03-05 09:00 (KST),생산 관리,오늘 폐기율 높은 품목은?,오늘 품목별 폐기 수량을 판매 수량으로 나눈 폐기율 높은 품목 알려줘,✅,"core_stock_rate.stk_rt, core_hourly_item_sales.sale_qty",폐기 수량은 stk_rt 음수 변화량으로 추정; 정확한 폐기 컬럼 없음,"SELECT
    item_cd,
    item_nm,
    SUM(disuse_qty::numeric) AS total_disuse_qty,
    SUM(sale_qty::numeric) AS total_sale_qty,
    -- 폐기율 계산: (폐기수량 / 판매수량) * 100, 0으로 나누는 오류 방지를 위해 NULLIF 사용
    ROUND((SUM(disuse_qty::numeric) / NULLIF(SUM(sale_qty::numeric), 0)) * 100, 2) AS discard_rate_pct
FROM
    raw_inventory_extract
WHERE
    masked_stor_cd = :store_id AND -- 날짜 일반화: 쿼리 실행 시점의 시스템 날짜를 'YYYYMMDD' 형태의 텍스트로 변환하여 비교
    stock_dt = :reference_dt
GROUP BY
    item_cd,
    item_nm
HAVING
    SUM(disuse_qty::numeric) > 0 -- 폐기가 1건 이상 발생한 품목만 필터링
ORDER BY
    discard_rate_pct DESC NULLS LAST
LIMIT 10;","SELECT csr.item_cd, csr.item_nm, SUM(CASE WHEN csr.stk_rt < 0 THEN ABS(csr.stk_rt) ELSE 0 END) AS est_waste_qty, SUM(COALESCE(chis.sale_qty,0)) AS total_sale_qty, ROUND(SUM(CASE WHEN csr.stk_rt < 0 THEN ABS(csr.stk_rt) ELSE 0 END) / NULLIF(SUM(COALESCE(chis.sale_qty,0)),0), 4) AS waste_rate FROM core_stock_rate csr LEFT JOIN core_hourly_item_sales chis ON csr.masked_stor_cd = chis.masked_stor_cd AND csr.item_cd = chis.item_cd AND to_date(chis.sale_dt,'YYYYMMDD') = to_date(csr.prc_dt,'YYYYMMDD') WHERE csr.masked_stor_cd = 'POC_010' AND to_date(csr.prc_dt,'YYYYMMDD') BETWEEN '20260305' AND '20260305' GROUP BY csr.item_cd, csr.item_nm ORDER BY waste_rate DESC NULLS LAST, est_waste_qty DESC LIMIT 12 ","폐기율(폐기수량÷판매수량) 기준 상위 품목을 나열하고, 폐기율이 높은 원인(과잉 생산·낮은 판매속도)을 품목별로 추정하여 제시",production_get_high_disposal_rate_items,폐기 많은 품목|오늘 버리는 거 많은 품목|폐기율 높은 메뉴|폐기 비율 높은 품목|오늘 손실 큰 품목|폐기 상위 품목
